Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-48.78%,--,MATERIALS SELECT SECTOR INDEX SWAP UBS AG,"-1,505,192",--,"-1,379"
-48.50%,--,MATERIALS SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"-1,496,460",--,"-1,371"
-45.71%,--,MATERIALS SELECT SECTOR INDEX SWAP BNP PARIBAS,"-1,410,231",--,"-1,292"
-37.00%,--,MATERIALS SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"-1,141,719",--,"-1,046"
-19.92%,--,MATERIALS SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-614,520",--,-563
--,--,NET OTHER ASSETS (LIABILITIES),--,"$3,085,440.48","3,085,440"
