Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-96.87%,--,NASDAQ 100 MEGA INDEX SWAP BANK OF AMERICA NA BANK OF AMERICA NA,"-1,001,998",--,-613
-82.97%,--,NASDAQ 100 MEGA INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-858,155",--,-525
-20.07%,--,NASDAQ 100 MEGA INDEX SWAP BARCLAYS CAPITAL,"-207,592",--,-127
--,--,NET OTHER ASSETS (LIABILITIES),--,"$1,034,329.91","1,034,330"
