Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
119.90%,--,ABRDN PHYSICAL PALLADIUM SHARES ETF (PALL) SWAP NOMURA,"4,954,699",--,"5,136"
56.56%,--,ABRDN PHYSICAL PALLADIUM SHARES ETF (PALL) SWAP CITI,"2,337,468",--,"2,423"
23.60%,--,ABRDN PHYSICAL PALLADIUM SHARES ETF (PALL) SWAP GOLDMAN SACHS,"975,312",--,"1,011"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$4,132,438.14","4,132,438"
