Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-122.36%,--,SILVER FUTURE JUL26,"-178,307,325",--,-441
-38.20%,--,BLOOMBERG SILVER SUBINDEX SWAP - UBS AG,"-55,669,485",--,"-93,332"
-28.06%,--,BLOOMBERG SILVER SUBINDEX SWAP - GOLDMAN SACHS,"-40,885,400",--,"-68,546"
-8.55%,--,BLOOMBERG SILVER SUBINDEX SWAP - CITIBANK NA,"-12,464,793",--,"-20,898"
-2.77%,--,BLOOMBERG SILVER SUBINDEX SWAP - MORGAN STANLEY,"-4,041,658",--,"-6,776"
--,--,NET OTHER ASSETS / CASH,--,"$145,719,441.38","145,719,441"
