Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-89.38%,--,S&P MIDCAP 400 INDEX SWAP BNP PARIBAS,"-1,687,122",--,-456
-77.81%,--,S&P MIDCAP 400 INDEX SWAP BANK OF AMERICA NA,"-1,468,833",--,-397
-69.78%,--,S&P MIDCAP 400 INDEX SWAP SOCIETE GENERALE,"-1,317,139",--,-356
-43.32%,--,S&P MIDCAP 400 INDEX SWAP CITIBANK NA,"-817,662",--,-221
-19.65%,--,S&P MID 400 EMINI EQUITY INDEX 18/JUN/2026 FAM6 INDEX,"-370,830",--,-01
--,--,NET OTHER ASSETS (LIABILITIES),--,"$1,887,605.89","1,887,606"
