Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-44.76%,--,FINANCIAL SELECT SECTOR INDEX SWAP CITIBANK NA,"-7,116,881",--,"-11,117"
-41.05%,--,FINANCIAL SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-6,526,635",--,"-10,195"
-35.68%,--,FINANCIAL SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"-5,673,275",--,"-8,862"
-22.94%,--,FINANCIAL SELECT SECTOR INDEX SWAP BNP PARIBAS,"-3,647,105",--,"-5,697"
-19.07%,--,FINANCIAL SELECT SECTOR INDEX SWAP BARCLAYS CAPITAL,"-3,032,533",--,"-4,737"
-14.92%,--,FINANCIAL SELECT SECTOR INDEX SWAP UBS AG,"-2,371,867",--,"-3,705"
-11.05%,--,FINANCIAL SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"-1,757,294",--,"-2,745"
-10.10%,--,SP FINANCIAL SELECT SECTOR INDEX SWAP JPMORGAN CHASE BANK NA,"-1,606,212",--,"-2,509"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$15,898,757.66","15,898,758"
