Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
58.09%,--,VANGUARD FTSE EUROPE (VGK) SWAP BANK OF AMERICA NA BANK OF AMERICA NA,"8,168,942",--,"2,048"
57.52%,--,VANGUARD FTSE EUROPE (VGK) SWAP CITIBANK NA,"8,088,495",--,"2,028"
41.47%,--,VANGUARD FTSE EUROPE (VGK) SWAP GOLDMAN SACHS INTERNATIONAL,"5,831,055",--,"1,462"
35.88%,--,VANGUARD FTSE EUROPE (VGK) SWAP UBS AG,"5,045,339",--,"1,265"
7.01%,--,VANGUARD FTSE EUROPE (VGK) SWAP SOCIETE GENERALE,"985,137",--,247
--,--,NET OTHER ASSETS (LIABILITIES),--,"$14,061,678.29","14,061,678"
