Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-67.89%,--,VANGUARD FTSE EUROPE (VGK) SWAP CITIBANK NA,"-9,831,431",--,"-2,465"
-56.02%,--,VANGUARD FTSE EUROPE (VGK) SWAP SOCIETE GENERALE,"-8,112,426",--,"-2,034"
-48.39%,--,VANGUARD FTSE EUROPE (VGK) SWAP UBS AG,"-7,007,947",--,"-1,757"
-27.65%,--,VANGUARD FTSE EUROPE (VGK) SWAP GOLDMAN SACHS INTERNATIONAL,"-4,004,364",--,"-1,004"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$14,482,133.85","14,482,134"
