Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-120.59%,--,EURO/US DOLLAR FORWARD - UBS,"-44,923,568",--,"-38,115,199"
-79.19%,--,EURO/US DOLLAR FORWARD - GOLDMAN SACHS,"-29,498,964",--,"-25,028,263"
--,--,NET OTHER ASSETS / CASH,--,"$37,252,374.67","37,252,375"
