Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-97.44%,--,CONSUMER DISCRETIONARY SELECT SECTOR INDEX SWAP UBS AG,"-5,840,419",--,"-2,403"
-38.44%,--,CONSUMER DISCRETIONARY SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"-2,304,086",--,-948
-35.56%,--,CONSUMER DISCRETIONARY SELECT SECTOR INDEX SWAP BNP PARIBAS,"-2,131,522",--,-877
-28.95%,--,CONSUMER DISCRETIONARY SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-1,735,356",--,-714
--,--,NET OTHER ASSETS (LIABILITIES),--,"$5,993,846.64","5,993,847"
