Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-97.02%,--,ISHARES MSCI EAFE (EFA) SWAP SOCIETE GENERALE,"-873,634",--,-398
-50.95%,--,ISHARES MSCI EAFE (EFA) SWAP UBS AG,"-458,768",--,-209
-28.52%,--,ISHARES MSCI EAFE (EFA) SWAP GOLDMAN SACHS INTERNATIONAL,"-256,822",--,-117
-23.16%,--,ISHARES MSCI EAFE (EFA) SWAP CITIBANK NA,"-208,531",--,-95
--,--,NET OTHER ASSETS (LIABILITIES),--,"$900,491.83","900,492"
