Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-60.63%,--,UTILITIES SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"-2,813,213",--,"-2,985"
-53.93%,--,UTILITIES SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"-2,502,205",--,"-2,655"
-48.77%,--,UTILITIES SELECT SECTOR INDEX SWAP UBS AG,"-2,262,822",--,"-2,401"
-36.42%,--,UTILITIES SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-1,689,813",--,"-1,793"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$4,639,643.96","4,639,644"
