Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
106.45%,--,EURO/US DOLLAR FORWARD - UBS,"6,245,728",--,"5,324,502"
93.83%,--,EURO/US DOLLAR FORWARD - GOLDMAN SACHS,"5,504,873",--,"4,692,921"
--,--,NET OTHER ASSETS / CASH,--,"$5,867,110.23","5,867,110"
