Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.19%,EQH,EQUITABLE HOLDINGS INC,--,"$64,027.80","1,503"
0.19%,SAIA,SAIA INC,--,"$63,871.60",142
0.19%,BLD,TOPBUILD CORP,--,"$63,348.44",148
0.19%,FHN,FIRST HORIZON CORP,--,"$63,346.14","2,574"
0.19%,ARMK,ARAMARK,--,"$62,931.68","1,396"
0.19%,GWRE,GUIDEWIRE SOFTWARE INC,--,"$62,440.95",451
0.19%,ELAN,ELANCO ANIMAL HEALTH INC,--,"$62,365.05","2,637"
0.19%,TXRH,TEXAS ROADHOUSE INC,--,"$62,260.38",351
0.19%,WBS,WEBSTER FINANCIAL CORP,--,"$62,068.56",856
0.19%,SF,STIFEL FINANCIAL CORP,--,"$61,888.50",809
0.19%,AIT,APPLIED INDUSTRIAL TECH INC,--,"$61,465.13",199
0.18%,LFUS,LITTELFUSE INC,--,"$60,784.99",133
0.18%,CCK,CROWN HOLDINGS INC,--,"$60,309.24",596
0.18%,DINO,HF SINCLAIR CORP,--,"$59,773.83",831
0.17%,EGP,EASTGROUP PROPERTIES INC,--,"$57,900.24",282
0.17%,CGNX,COGNEX CORP,--,"$57,780.80",880
0.17%,SCI,SERVICE CORP INTERNATIONAL,--,"$57,357.36",738
0.17%,KTOS,KRATOS DEFENSE & SECURITY,--,"$56,732.20",980
0.17%,EHC,ENCOMPASS HEALTH CORP,--,"$56,657.40",534
0.17%,WTRG,ESSENTIAL UTILITIES INC,--,"$56,279.94","1,502"
0.17%,CACI,CACI INTERNATIONAL INC -CL A,--,"$56,275.83",117
0.17%,AR,ANTERO RESOURCES CORP,--,"$55,886.70","1,555"
0.17%,AMH,AMERICAN HOMES 4 RENT- A,--,"$55,411.90","1,730"
0.17%,ACM,AECOM,--,"$55,365.33",687
0.17%,KNX,KNIGHT-SWIFT TRANSPORTATION,--,"$55,211.10",862
0.17%,BMRN,BIOMARIN PHARMACEUTICAL INC,--,"$55,087.14","1,019"
0.16%,WMS,ADVANCED DRAINAGE SYSTEMS IN,--,"$54,416.00",380
0.16%,ARWR,ARROWHEAD PHARMACEUTICALS IN,--,"$54,081.36",744
0.16%,CYTK,CYTOKINETICS INC,--,"$53,913.91",701
0.16%,WTFC,WINTRUST FINANCIAL CORP,--,"$53,832.20",355
0.16%,VMI,VALMONT INDUSTRIES,--,"$53,607.75",105
0.16%,SPXC,SPX TECHNOLOGIES INC,--,"$53,346.92",263
0.16%,GME,GAMESTOP CORP-CLASS A,--,"$53,100.36","2,187"
0.16%,DAR,DARLING INGREDIENTS INC,--,"$52,957.68",839
0.16%,OC,OWENS CORNING,--,"$52,926.45",435
0.16%,ARW,ARROW ELECTRONICS INC,--,"$52,831.45",271
0.16%,DCI,DONALDSON CO INC,--,"$52,546.00",611
0.16%,COKE,COCA-COLA CONSOLIDATED INC,--,"$52,467.31",301
0.16%,ENSG,ENSIGN GROUP INC/THE,--,"$52,463.70",306
0.16%,OGE,OGE ENERGY CORP,--,"$51,658.85","1,091"
0.16%,CNH,CNH INDUSTRIAL NV,--,"$51,501.04","4,699"
0.16%,MUSA,MURPHY USA INC,--,"$51,430.43",89
0.15%,RRC,RANGE RESOURCES CORP,--,"$50,974.16","1,258"
0.15%,DOCU,DOCUSIGN INC,--,"$50,965.60","1,064"
0.15%,MEDP,MEDPACE HOLDINGS INC,--,"$50,880.00",120
0.15%,SSB,SOUTHSTATE BANK CORP,--,"$50,739.56",527
0.15%,AAON,AAON INC,--,"$50,277.60",360
0.15%,UMBF,UMB FINANCIAL CORP,--,"$49,785.44",379
0.15%,GTLS,CHART INDUSTRIES INC,--,"$49,783.20",240
0.15%,R,RYDER SYSTEM INC,--,"$49,741.12",208
0.15%,TTC,TORO CO,--,"$49,373.50",517
0.15%,BAH,BOOZ ALLEN HAMILTON HOLDINGS,--,"$49,305.60",640
0.15%,CTRE,CARETRUST REIT INC,--,"$49,254.40","1,184"
0.15%,CNM,CORE & MAIN INC-CLASS A,--,"$49,237.27","1,003"
0.15%,CUBE,CUBESMART,--,"$48,956.60","1,210"
0.15%,ZION,ZIONS BANCORP NA,--,"$48,937.50",783
0.15%,AHR,AMERICAN HEALTHCARE REIT INC,--,"$48,762.53",943
0.15%,BRX,BRIXMOR PROPERTY GROUP INC,--,"$48,579.52","1,628"
0.15%,ADC,AGREE REALTY CORP,--,"$48,475.92",636
0.15%,AFG,AMERICAN FINANCIAL GROUP INC,--,"$48,325.76",368
0.15%,MP,MP MATERIALS CORP,--,"$48,212.45",715
0.14%,FLS,FLOWSERVE CORP,--,"$47,941.62",674
0.14%,ORI,OLD REPUBLIC INTL CORP,--,"$47,426.08","1,208"
0.14%,MOG/A,MOOG INC-CLASS A,--,"$47,426.08",151
0.14%,CR,CRANE CO,--,"$47,324.52",261
0.14%,AYI,ACUITY INC,--,"$47,226.13",161
0.14%,COLB,COLUMBIA BANKING SYSTEM INC,--,"$47,102.72","1,568"
0.14%,AAL,AMERICAN AIRLINES GROUP INC,--,"$46,791.75","3,505"
0.14%,FCFS,FIRSTCASH HOLDINGS INC,--,"$46,674.40",205
0.14%,JEF,JEFFERIES FINANCIAL GROUP IN,--,"$46,516.44",878
0.14%,CFR,CULLEN/FROST BANKERS INC,--,"$46,514.75",335
0.14%,AMKR,AMKOR TECHNOLOGY INC,--,"$46,425.66",606
0.14%,PRI,PRIMERICA INC,--,"$46,398.95",169
0.14%,CRUS,CIRRUS LOGIC INC,--,"$46,350.90",270
0.14%,OSK,OSHKOSH CORP,--,"$46,219.95",335
0.14%,VNOM,VIPER ENERGY INC-CL A,--,"$46,181.73",987
0.14%,GMED,GLOBUS MEDICAL INC - A,--,"$46,068.45",591
0.14%,ENS,ENERSYS,--,"$45,274.54",197
0.14%,MANH,MANHATTAN ASSOCIATES INC,--,"$45,194.32",316
0.14%,SEIC,SEI INVESTMENTS COMPANY,--,"$44,951.74",493
0.14%,AMG,AFFILIATED MANAGERS GROUP,--,"$44,812.92",148
0.13%,NNN,NNN REIT INC,--,"$44,759.24","1,009"
0.13%,ONB,OLD NATIONAL BANCORP,--,"$44,736.30","1,841"
0.13%,WAL,WESTERN ALLIANCE BANCORP,--,"$44,717.40",546
0.13%,ALV,AUTOLIV INC,--,"$44,512.92",366
0.13%,REXR,REXFORD INDUSTRIAL REALTY IN,--,"$44,358.21","1,223"
0.13%,HLI,HOULIHAN LOKEY INC,--,"$44,179.43",289
0.13%,FR,FIRST INDUSTRIAL REALTY TR,--,"$44,113.25",703
0.13%,MASI,MASIMO CORP,--,"$43,329.33",243
0.13%,SFM,SPROUTS FARMERS MARKET INC,--,"$42,823.11",517
0.13%,WTS,WATTS WATER TECHNOLOGIES-A,--,"$42,753.60",144
0.13%,CAVA,CAVA GROUP INC,--,"$42,082.00",530
0.13%,TTEK,TETRA TECH INC,--,"$41,951.65","1,385"
0.13%,CMC,COMMERCIAL METALS CO,--,"$41,724.48",588
0.12%,ATR,APTARGROUP INC,--,"$41,378.58",342
0.12%,CHRD,CHORD ENERGY CORP,--,"$41,341.32",303
0.12%,IDA,IDACORP INC,--,"$41,328.00",287
0.12%,SSD,SIMPSON MANUFACTURING CO INC,--,"$41,305.59",219
0.12%,ULS,UL SOLUTIONS INC - CLASS A,--,"$41,180.40",410
0.12%,KEX,KIRBY CORP,--,"$40,965.12",288
0.12%,VOYA,VOYA FINANCIAL INC,--,"$40,713.41",499
0.12%,MIDD,MIDDLEBY CORP,--,"$40,508.82",246
0.12%,NFG,NATIONAL FUEL GAS CO,--,"$40,078.08",504
0.12%,HALO,HALOZYME THERAPEUTICS INC,--,"$40,010.88",624
0.12%,TKR,TIMKEN CO,--,"$39,637.92",336
0.12%,STAG,STAG INDUSTRIAL INC,--,"$39,495.30","1,014"
0.12%,CART,MAPLEBEAR INC,--,"$39,381.60",976
0.12%,ORA,ORMAT TECHNOLOGIES INC,--,"$39,299.41",323
0.12%,WFRD,WEATHERFORD INTERNATIONAL PL,--,"$38,881.60",380
0.12%,FAF,FIRST AMERICAN FINANCIAL,--,"$38,503.68",542
0.12%,HQY,HEALTHEQUITY INC,--,"$38,432.52",453
0.12%,TEX,TEREX CORP,--,"$38,414.40",604
0.12%,HXL,HEXCEL CORP,--,"$38,413.96",403
0.12%,LAD,LITHIA MOTORS INC,--,"$38,218.70",130
0.11%,SLAB,SILICON LABORATORIES INC,--,"$38,053.75",175
0.11%,IDCC,INTERDIGITAL INC,--,"$38,026.96",136
0.11%,CBSH,COMMERCE BANCSHARES INC,--,"$37,724.03",727
0.11%,LEA,LEAR CORP,--,"$37,576.61",269
0.11%,AGCO,AGCO CORP,--,"$37,314.12",318
0.11%,PB,PROSPERITY BANCSHARES INC,--,"$37,192.62",537
0.11%,FLR,FLUOR CORP,--,"$37,073.36",856
0.11%,CRBG,COREBRIDGE FINANCIAL INC,--,"$37,059.67","1,357"
