Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-126.77%,--,GOLD 100 OZ FUTR JUN26,"-144,443,950",--,-311
-50.48%,--,BLOOMBERG GOLD SUBINDEX SWAP - CITIBANK NA,"-57,521,725",--,"-138,741"
-13.86%,--,BLOOMBERG GOLD SUBINDEX SWAP - UBS AG,"-15,798,285",--,"-38,105"
-8.96%,--,BLOOMBERG GOLD SUBINDEX SWAP - GOLDMAN SACHS,"-10,214,012",--,"-24,636"
--,--,NET OTHER ASSETS / CASH,--,"$113,944,310.51","113,944,311"
