Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-68.60%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP UBS AG,"-4,312,923",--,"-2,472"
-45.62%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP BNP PARIBAS,"-2,868,303",--,"-1,644"
-45.54%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"-2,863,069",--,"-1,641"
-23.45%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-1,474,280",--,-845
-15.98%,--,INDUSTRIAL SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"-1,004,953",--,-576
--,--,NET OTHER ASSETS (LIABILITIES),--,"$6,287,511.72","6,287,512"
