Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
115.63%,--,YEN/US DOLLAR FORWARD - GOLDMAN SACHS,"50,928,720",--,"7,974,416,056"
84.78%,--,YEN/US DOLLAR FORWARD - UBS,"37,340,414",--,"5,846,759,856"
--,--,NET OTHER ASSETS / CASH,--,"$44,045,116.58","44,045,117"
