Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
79.54%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP UBS AG,"3,723,662",--,"2,405"
51.20%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP CITIBANK NA,"2,396,768",--,"1,548"
43.92%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP GOLDMAN SACHS INTERNATIONAL,"2,056,142",--,"1,328"
18.80%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP BANK OF AMERICA NA,"879,908",--,568
6.65%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP SOCIETE GENERALE,"311,208",--,201
--,--,NET OTHER ASSETS (LIABILITIES),--,"$4,681,206.12","4,681,206"
