Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-40.81%,--,REAL ESTATE SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"-6,926,955",--,"-31,851"
-35.44%,--,REAL ESTATE SELECT SECTOR INDEX SWAP UBS AG,"-6,015,062",--,"-27,658"
-34.62%,--,REAL ESTATE SELECT SECTOR INDEX SWAP CITIBANK NA,"-5,876,310",--,"-27,020"
-34.38%,--,REAL ESTATE SELECT SECTOR INDEX SWAP BNP PARIBAS,"-5,834,771",--,"-26,829"
-31.08%,--,REAL ESTATE SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-5,275,847",--,"-24,259"
-22.69%,--,REAL ESTATE SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"-3,851,136",--,"-17,708"
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,"$12,015,600.00","120,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$4,956,969.30","4,956,969"
