Exposure Weight,Ticker,Description,Coupon Rate,Maturity Date,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-70.82%,--,MARKIT IBOXX $ LIQUID HIGH YIELD INDEX (HYG) SWAP UBS AG,--,--,"-67,687,581",--,"-33,181"
-22.29%,--,HIGH YIELD INDEX (HYG) SWAP BNP PARIBAS,--,--,"-21,303,198",--,"-10,443"
-5.44%,--,MARKIT IBOXX $ LIQUID HIGH YIELD INDEX (HYG) SWAP GOLDMAN SACHS INTERNATIONAL,--,--,"-5,201,873",--,"-2,550"
-1.98%,--,MARKIT IBOXX $ LIQUID HIGH YIELD INDEX (HYG) SWAP CITIBANK NA,--,--,"-1,895,114",--,-929
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,--,--,"$65,078,000.00","650,000"
--,--,TREASURY BILL,0.00%,06/09/2026,--,"$19,942,161.20","20,000,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,--,--,"$10,563,159.36","10,563,159"
