Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
60.46%,--,BLOOMBERG GOLD SUBINDEX SWAP - CITIBANK NA,"606,495,323",--,"1,436,215"
55.46%,--,GOLD 100 OZ FUTR JUN26,"556,330,320",--,"1,176"
37.11%,--,GOLD 100 OZ FUTR  AUG26,"372,271,460",--,781
35.88%,--,BLOOMBERG GOLD SUBINDEX SWAP - UBS AG,"359,932,604",--,"852,341"
11.07%,--,BLOOMBERG GOLD SUBINDEX SWAP - GOLDMAN SACHS,"111,064,938",--,"263,008"
--,--,NET OTHER ASSETS / CASH,--,"$1,003,177,940.80","1,003,177,941"
