Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-93.33%,--,S&P SMALLCAP 600 INDEX SWAP BANK OF AMERICA NA,"-1,430,873",--,-850
-55.67%,--,S&P SMALLCAP 600 INDEX SWAP UBS AG,"-853,474",--,-507
-50.95%,--,S&P SMALLCAP 600 INDEX SWAP SOCIETE GENERALE,"-781,088",--,-464
--,--,NET OTHER ASSETS (LIABILITIES),--,"$1,533,054.69","1,533,055"
