Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
20.96%,--,FINANCIAL SELECT SECTOR INDEX SWAP CITIBANK NA,"136,248,388",--,"215,757"
20.11%,--,FINANCIAL SELECT SECTOR INDEX SWAP BNP PARIBAS,"130,675,489",--,"206,932"
17.22%,--,FINANCIAL SELECT SECTOR INDEX SWAP UBS AG,"111,913,289",--,"177,221"
16.59%,--,FINANCIAL SELECT SECTOR INDEX SWAP BARCLAYS CAPITAL,"107,842,073",--,"170,774"
9.29%,--,FINANCIAL SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"60,360,972",--,"95,585"
7.78%,--,FINANCIAL SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"50,552,037",--,"80,052"
6.59%,--,SP FINANCIAL SELECT SECTOR INDEX SWAP JPMORGAN CHASE BANK NA,"42,809,970",--,"67,792"
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,"$35,042,000.00","350,000"
--,--,TREASURY BILL,--,"$9,955,187.50","10,000,000"
--,--,TREASURY BILL,--,"$9,934,366.70","10,000,000"
--,--,TREASURY BILL,--,"$4,988,066.65","5,000,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$175,526,031.64","175,526,032"
