Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-199.99%,--,NATURAL GAS FUTR JUL26,"-311,928,000",--,"-10,144"
--,--,NET OTHER ASSETS / CASH,--,"$155,972,285.98","155,972,286"
