Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-52.12%,--,ENERGY SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"-10,467,121",--,"-8,455"
-51.54%,--,ENERGY SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"-10,350,751",--,"-8,361"
-48.86%,--,ENERGY SELECT SECTOR INDEX SWAP BNP PARIBAS,"-9,812,229",--,"-7,926"
-27.69%,--,ENERGY SELECT SECTOR INDEX SWAP UBS AG,"-5,562,244",--,"-4,493"
-19.26%,--,ENERGY SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-3,868,688",--,"-3,125"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$20,084,308.36","20,084,308"
