Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-80.17%,--,HEALTH CARE SELECT SECTOR INDEX SWAP BNP PARIBAS,"-4,976,852",--,"-3,393"
-49.33%,--,HEALTH CARE SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-3,062,678",--,"-2,088"
-36.93%,--,HEALTH CARE SELECT SECTOR INDEX SWAP UBS AG,"-2,292,608",--,"-1,563"
-16.42%,--,HEALTH CARE SELECT SECTOR INDEX SWAP CITIBANK NA,"-1,019,426",--,-695
-11.70%,--,HEALTH CARE SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"-726,066",--,-495
-5.20%,--,HEALTH CARE SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"-322,696",--,-220
--,--,NET OTHER ASSETS (LIABILITIES),--,"$6,208,122.90","6,208,123"
