Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-107.07%,--,YEN/US DOLLAR FORWARD - GOLDMAN SACHS,"-30,516,112",--,"-4,778,211,165"
-92.99%,--,YEN/US DOLLAR FORWARD - UBS,"-26,503,736",--,"-4,149,953,424"
--,--,NET OTHER ASSETS / CASH,--,"$28,501,325.86","28,501,326"
