Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-68.53%,--,CONSUMER STAPLES SELECT SECTOR INDEX SWAP BANK OF AMERICA NA,"-3,216,173",--,"-3,784"
-53.05%,--,CONSUMER STAPLES SELECT SECTOR INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"-2,489,474",--,"-2,929"
-43.14%,--,CONSUMER STAPLES SELECT SECTOR INDEX SWAP UBS AG,"-2,024,557",--,"-2,382"
-35.91%,--,CONSUMER STAPLES SELECT SECTOR INDEX SWAP SOCIETE GENERALE,"-1,685,431",--,"-1,983"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$4,693,076.38","4,693,076"
