Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
-60.41%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP BANK OF AMERICA NA,"-1,562,040",--,"-1,009"
-57.54%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP GOLDMAN SACHS INTERNATIONAL,"-1,487,916",--,-961
-48.14%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP UBS AG,"-1,244,833",--,-804
-24.43%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP SOCIETE GENERALE,"-631,706",--,-408
-9.10%,--,ISHARES MSCI BRAZIL CAPPED (EWZ) SWAP CITIBANK NA,"-235,342",--,-152
--,--,NET OTHER ASSETS (LIABILITIES),--,"$2,585,810.22","2,585,810"
