Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
73.72%,--,SILVER FUTURE JUL26,"1,363,529,040",--,"3,568"
53.94%,--,BLOOMBERG SILVER SUBINDEX SWAP - CITIBANK NA,"997,572,932",--,"1,769,496"
48.63%,--,BLOOMBERG SILVER SUBINDEX SWAP - UBS AG,"899,392,435",--,"1,595,343"
12.01%,--,BLOOMBERG SILVER SUBINDEX SWAP - GOLDMAN SACHS,"222,167,538",--,"394,081"
11.67%,--,BLOOMBERG SILVER SUBINDEX SWAP - MS,"215,910,917",--,"382,983"
--,--,NET OTHER ASSETS / CASH,--,"$1,849,526,986.39","1,849,526,986"
